time,node,result,start,end,real_time,now
60,"[6081092172, 4634458118, 5647912228, 5088770324, None, None, None, None, None, None]",1,6081092172,5551903399,65.0597,2021-11-18 05:45:23.553401
60,"[6081092172, 5102780815, 5527438742, 5551903399, None, None, None, None, None, None]",1,6081092172,5551903399,50.6643,2021-11-18 05:45:44.256330
60,"[6081092172, 5537592361, 5100222105, None, None, None, None, None, None, None]",1,6081092172,5551903399,66.0298,2021-11-18 05:45:55.044368
60,"[6081092172, 4641219031, None, None, None, None, None, None, None, None]",1,6081092172,5551903399,51.6706,2021-11-18 05:45:59.007538
60,"[6081092172, 4655013556, 5258665414, None, None, None, None, None, None, None]",1,6081092172,5551903399,50.3986,2021-11-18 05:46:20.460607
60,"[6081092172, 7966967879, 5527437609, None, None, None, None, None, None, None]",1,6081092172,5551903399,58.9446,2021-11-18 05:46:26.047674
60,"[6081092172, 5537882677, None, None, None, None, None, None, None, None]",1,6081092172,5551903399,63.8803,2021-11-18 05:46:34.998382
60,"[6081092172, 4641219047, 5528058804, 4636656284, 7966948681, None, None, None, None, None]",1,6081092172,5551903399,64.9959,2021-11-18 05:46:38.392321
60,"[6081092172, 7966916994, None, None, None, None, None, None, None, None]",1,6081092172,5551903399,53.8192,2021-11-18 05:46:45.036543
60,"[6081092172, 4636709794, 5091011740, 5091044669, None, None, None, None, None, None]",1,6081092172,5551903399,54.4202,2021-11-18 05:46:50.220816
60,"[6081092172, 5537488457, None, None, None, None, None, None, None, None]",1,6081092172,5551903399,64.4453,2021-11-18 05:46:59.093214
60,"[6081092172, 4655020092, 5586130585, None, None, None, None, None, None, None]",1,6081092172,5551903399,65.1545,2021-11-18 05:47:08.343881
60,"[6081092172, 5537488472, None, None, None, None, None, None, None, None]",1,6081092172,5551903399,66.7025,2021-11-18 05:47:17.459179
60,"[6081092172, 9221188579, None, None, None, None, None, None, None, None]",1,6081092172,5551903399,59.5762,2021-11-18 05:47:22.866564
